Campus	Grade Level Category/Group	Day/s of the Week(M,T,W,Th, and/or F)	Hour/Period	Start Time (24 hr)	End Time (24 hr)
Vinland	High School	M, T, W, Th, F	ZH	8:00	8:15
Vinland	High School	M, T, Th	WH	10:36	10:56
Vinland	High School	M, T, Th	L	12:33	13:04
Vinland	High School	W, F	L	12:40	13:10
Vinland	High School	M, T, Th	HRM	8:15	8:15:01
Vinland	High School	F	D	8:15	8:55
Vinland	High School	W	C	8:15	8:55
Vinland	High School	M, T, Th	8	14:42	15:25
Vinland	High School	W, F	8	14:44	15:25
Vinland	High School	M, T, Th	7	13:55	14:38
Vinland	High School	W, F	7	13:59	14:40
Vinland	High School	M, T, Th	6	13:08	13:51
Vinland	High School	W, F	6	13:14	13:55
Vinland	High School	M, T, Th	5	11:50	12:33
Vinland	High School	W, F	5	11:59	12:40
Vinland	High School	M, T, Th	4	11:00	11:46
Vinland	High School	W, F	4	11:14	11:55
Vinland	High School	M, T, Th	3	9:49	10:32
Vinland	High School	W, F	3	10:29	11:10
Vinland	High School	M, T, Th	2	9:02	9:45
Vinland	High School	W, F	2	9:44	10:25
Vinland	High School	M, T, Th	1	8:15:01	8:58
Vinland	High School	W, F	1	8:59	9:40
