Name,Campus,Grade Level Category/Group,Date/s (mm/dd/yyyy),Hour/Period,Start Time (24 hr),End Time (24 hr)
No School PD,Vinland,High School,"09/18/2026, 10/16/2026, 11/13/2026, 02/12/2027, 03/29/2027, 05/14/2026",,,
No School Labor Day,Vinland,High School,09/07/2026,,,
No School P/T Meetings,Vinland,High School,"10/29/2026, 10/30/2026",,,
No School - Thanksgiving,Vinland,High School,"11/26/2026, 11/27/2026",,,
No School - Christmas Break,Vinland,High School,12/19/2026-01/03/2027,,,
No School,Vinland,High School,02/15/2027,,,
No School - Spring Break,Vinland,High School,03/22/2027-03/26/2027,,,
No School PD/HS Prom,Vinland,High School,04/30/2027,,,
Spriit Week,Vinland,High School,09/28/2026-10/02/2026,Normal,,
Early Release,Vinland,High School,11/25/2026,Normal,,
HS Finals,Vinland,High School,"12/16/2026-12/18/2026, 05/25/2027-05/27/2027",Normal,,
J-Term HS,Vinland,High School,"01/04/2027-01/08/2027, 01/11/2027-01/13/2027",Normal,,
HS Awards,Vinland,High School,05/21/2027,Normal,,
